Date;SPX;LIBOR
14.05.1986;251.6344;0.07
15.05.1986;248.3399;0.069375
16.05.1986;246.5708;0.07125
19.05.1986;247.0369;0.07125
20.05.1986;250.1195;0.07125
21.05.1986;249.4204;0.070625
22.05.1986;254.3675;0.069375
23.05.1986;255.6705;0.070625
26.05.1986;255.6705;0.070625
27.05.1986;259.2722;0.07
28.05.1986;261.2638;0.069375
29.05.1986;262.6939;0.070625
30.05.1986;262.768;0.07125
02.06.1986;260.314;0.071875
03.06.1986;260.8133;0.071875
04.06.1986;259.1455;0.0725
05.06.1986;260.962;0.071875
06.06.1986;260.9833;0.07125
09.06.1986;254.9174;0.071875
10.06.1986;254.5137;0.07125
11.06.1986;256.1603;0.07125
12.06.1986;256.5427;0.07125
13.06.1986;261.047;0.070625
16.06.1986;261.472;0.07
17.06.1986;259.581;0.07
18.06.1986;260.2609;0.06875
19.06.1986;259.2729;0.07
20.06.1986;263.0123;0.06875
23.06.1986;260.5477;0.070625
24.06.1986;262.4281;0.07
25.06.1986;264.4465;0.07
26.06.1986;264.2446;0.07
27.06.1986;265.1583;0.07
30.06.1986;267.2086;0.06875
01.07.1986;268.4869;0.068125
02.07.1986;269.1899;0.068755
03.07.1986;268.2206;0.06875
04.07.1986;268.2206;0.06875
07.07.1986;259.9755;0.0675
08.07.1986;257.3549;0.068125
09.07.1986;258.6652;0.068125
10.07.1986;258.8676;0.06625
11.07.1986;258.0261;0.066875
14.07.1986;253.6479;0.066875
15.07.1986;248.9075;0.065625
16.07.1986;250.3456;0.064375
17.07.1986;251.4747;0.065625
18.07.1986;251.7837;0.064375
21.07.1986;251.6558;0.065
22.07.1986;253.7224;0.065625
23.07.1986;254.2444;0.06625
24.07.1986;253.4774;0.06625
25.07.1986;255.8956;0.065625
28.07.1986;251.4108;0.06625
29.07.1986;249.8556;0.065625
30.07.1986;252.0287;0.065625
31.07.1986;252.263;0.065
01.08.1986;250.9703;0.064375
04.08.1986;252.1241;0.065
05.08.1986;253.2352;0.065
06.08.1986;253.0323;0.065
07.08.1986;253.2459;0.065
08.08.1986;253.075;0.064375
11.08.1986;257.1348;0.064375
12.08.1986;259.9766;0.063125
13.08.1986;262.4659;0.0625
14.08.1986;263.0856;0.0625
15.08.1986;264.0471;0.061875
18.08.1986;264.2929;0.061875
19.08.1986;263.3634;0.06125
20.08.1986;266.8463;0.060625
21.08.1986;266.7394;0.059375
22.08.1986;267.295;0.059375
25.08.1986;264.7523;0.059375
26.08.1986;270.1261;0.058125
27.08.1986;270.6176;0.0575
28.08.1986;270.1261;0.058125
29.08.1986;270.9702;0.055625
01.09.1986;270.9702;0.055625
02.09.1986;266.2456;0.056875
03.09.1986;267.9169;0.056875
